,1_year,2_year,3_year,4_year,5_year
0,0.28799019607843135,0.35962566844919786,0.37617135207496655,0.39357429718875503,0.3989290495314592
1,0.29816124469589816,0.3596769541390251,0.39469128678592036,0.4085401038661281,0.414598961338719
2,0.29816124469589816,0.3596769541390251,0.39469128678592036,0.4085401038661281,0.414598961338719
3,0.27782131661442006,0.34011391375101707,0.3942061914228912,0.40876743524053516,0.4161188911117462
4,0.27672833495618304,0.3389933292904791,0.39217342342342343,0.4066027088036117,0.41444759206798865
5,0.27672833495618304,0.3389933292904791,0.39217342342342343,0.4066027088036117,0.41444759206798865
6,0.27672833495618304,0.3389933292904791,0.39217342342342343,0.4066027088036117,0.41444759206798865
7,0.27672833495618304,0.3389933292904791,0.39217342342342343,0.4066027088036117,0.41444759206798865
8,0.27672833495618304,0.3389933292904791,0.39217342342342343,0.4066027088036117,0.41444759206798865
9,0.27652545666537115,0.33864461476401775,0.3915239966320516,0.4059071729957806,0.4137249364586275
10,0.27652545666537115,0.33864461476401775,0.3915239966320516,0.4059071729957806,0.4137249364586275
11,0.27832512315270935,0.34106090373280945,0.39296346414073074,0.40791971792785464,0.4162809692349578
12,0.27866061293984107,0.34170262848175753,0.3937348096138266,0.40866035182679294,0.4170062483020918
13,0.27861730260672457,0.3415589502546024,0.39380053908355794,0.40923824959481364,0.4175704989154013
14,0.27861730260672457,0.3415589502546024,0.39380053908355794,0.40923824959481364,0.4175704989154013
15,0.27861730260672457,0.3415589502546024,0.39380053908355794,0.40923824959481364,0.4175704989154013
16,0.27861730260672457,0.3415589502546024,0.39380053908355794,0.40923824959481364,0.4175704989154013
17,0.27861730260672457,0.3415589502546024,0.39380053908355794,0.40923824959481364,0.4175704989154013
18,0.27807083647324793,0.3415589502546024,0.39380053908355794,0.40923824959481364,0.4175704989154013
19,0.2780778543490408,0.3415589502546024,0.39380053908355794,0.40923824959481364,0.4175704989154013
20,0.2780778543490408,0.3415589502546024,0.39380053908355794,0.40923824959481364,0.4175704989154013
21,0.2780778543490408,0.3415589502546024,0.39380053908355794,0.40923824959481364,0.4175704989154013
22,0.2780778543490408,0.3415589502546024,0.39380053908355794,0.40923824959481364,0.4175704989154013
23,0.2697695436059648,0.336621874468447,0.39380053908355794,0.40923824959481364,0.4175704989154013
24,0.26807166884052996,0.3294226206169259,0.3934823592782117,0.4090172786177106,0.4173441734417344
25,0.2678559270102812,0.3284415584415584,0.39116801672328194,0.4075432163436354,0.41614090431125134
26,0.26765113059529305,0.3282789009849663,0.3908616187989556,0.40743650170201623,0.41603153745072274
27,0.26765113059529305,0.3282789009849663,0.3908616187989556,0.40743650170201623,0.41603153745072274
28,0.26765113059529305,0.3282789009849663,0.3908616187989556,0.40743650170201623,0.41603153745072274
29,0.2736976942783945,0.34538653366583544,0.4156870693149574,0.4308348567946374,0.43484626647144947
30,0.27396230778124636,0.34291602266872745,0.414765906362545,0.429917786244235,0.4343517753922378
31,0.2817478152309613,0.3601994851994852,0.4368932038834951,0.4595540575576873,0.4727248712191256
32,0.2817478152309613,0.3601994851994852,0.4368932038834951,0.4595540575576873,0.4727248712191256
33,0.28487017310252993,0.3675406046596508,0.4377770201159223,0.4662571452947701,0.48189116859946474
34,0.28776206354681694,0.3732021196063588,0.44324363530862404,0.4727787456445993,0.48978514888805125
35,0.28950496321757846,0.37964248524817773,0.4491233819433066,0.4805705853418593,0.4996063877642825
36,0.3102125547181732,0.40484600949332156,0.465548413017276,0.49062760596062505,0.5102640445036434
37,0.30715611466281706,0.40315240029826954,0.46411315956770505,0.4905313736574336,0.5102439024390244
38,0.3110364227523472,0.4089489422970429,0.4687700878508678,0.496588945150238,0.5187246454554598
39,0.3106970174390178,0.4091407277509864,0.4687458171596841,0.49663493603346875,0.5187246454554598
40,0.3140172029308697,0.41517168753996014,0.4757060634453219,0.5048149899221142,0.5271674099858588
41,0.31092636932823725,0.4126095811564686,0.47423735317316507,0.5043805957610235,0.5273038892551087
42,0.3061899404995866,0.4079622671676393,0.4700074909244569,0.5023434736469756,0.5265020291002672
43,0.3051983619812723,0.4069524948630662,0.4684003961412904,0.5010273828993165,0.5256216318426775
44,0.3045945876222171,0.40694754891454116,0.46831521639506535,0.5009641584573464,0.5256079979201626
45,0.3013672366481732,0.4035152114067904,0.4652126130695748,0.49880560776942356,0.5248897149383075
46,0.30124915155340154,0.403442923663045,0.4651874133910163,0.4987863127398011,0.5248897149383075
47,0.30129185095284217,0.4029733528066356,0.46395427144757806,0.49684605330454057,0.5224096281597791
48,0.30317727072782846,0.4060601246971923,0.46798546502521693,0.5018588028232251,0.5280789377512486
49,0.3030197379519766,0.4058416704062508,0.4676895701308026,0.5015652671687447,0.5277732858990944
50,0.30299900070736446,0.40585305434037844,0.46773540225587334,0.501651107580815,0.5279172463855786
51,0.3030447668416788,0.4058216060140988,0.4678697588696053,0.5019066195722846,0.5279899737407496
52,0.3030229102441837,0.4058183802606447,0.4678918786242445,0.5019391748416194,0.52802717304942
53,0.3029557741735354,0.40578073693363964,0.4678116190709646,0.50193733892035,0.5280276404360517
54,0.30338645849101487,0.40634027576288934,0.4685009037840401,0.5029447003830642,0.5290294297041781
55,0.3027292097176569,0.40578300027443054,0.4679070856006085,0.5025694756274011,0.5287410213611897
56,0.30090270812437314,0.4045485871812543,0.46679926560587515,0.5022123545435936,0.5290408589752829
57,0.3008653138041077,0.4045119924008549,0.4667444898412963,0.5021803812912266,0.5289985590778098
58,0.30087848474077084,0.4046660827158448,0.46683744115203546,0.5022576902574394,0.5290068124775905
59,0.30064155754791444,0.4043187684909063,0.4663323091337476,0.5016838691571299,0.5284372880145668
60,0.3006697286688384,0.4043317896324578,0.4663497967899704,0.5016992485891559,0.5284867739977868
61,0.3006603155400978,0.40443014943243843,0.466289511987477,0.5015928763461748,0.5282434596903364
62,0.3006603155400978,0.40443014943243843,0.466289511987477,0.5015928763461748,0.5282434596903364
63,0.30011073102248237,0.4038598916925913,0.4657521337605342,0.5013303331154121,0.5280204226941979
64,0.30012812613088424,0.40418947057016397,0.4661245174385439,0.5012546482450041,0.5280799917107035
65,0.3002013527778864,0.4042507220996611,0.4661707967065749,0.5012840655024473,0.5281214945206661
66,0.300056423526665,0.4041889079887813,0.4662019712222632,0.501395265100369,0.5283290241939627
67,0.3000223694064327,0.40414250019785414,0.4661406536085462,0.5013272544579253,0.528248926010235
68,0.299904452144036,0.4043476311128052,0.466068873163623,0.5013420101662893,0.5282531316311863
69,0.299828460189272,0.4043299061443003,0.4660555752258809,0.5013252669252309,0.5282789966509466
70,0.2998063527847626,0.40431272881982155,0.4660234899328859,0.501287232450232,0.5282152006831767
71,0.2998063527847626,0.40431272881982155,0.4660234899328859,0.501287232450232,0.5282152006831767
72,0.29980543997534287,0.4042912786532951,0.465976544584944,0.5012193844726723,0.5281424449869403
73,0.29986236898586155,0.40432336923094125,0.46595193213949104,0.501165675344472,0.5280458280765166
74,0.29986236898586155,0.40432336923094125,0.46595193213949104,0.501165675344472,0.5280458280765166
75,0.2999827182303468,0.4044175944433898,0.46598817434985085,0.5011729898540114,0.5280500485825819
76,0.2999827182303468,0.4044175944433898,0.46598817434985085,0.5011729898540114,0.5280500485825819
77,0.29998751932105105,0.40442637961453426,0.4659960495506691,0.5011804082120551,0.5280571370129206
78,0.29998751932105105,0.40442637961453426,0.4659960495506691,0.5011804082120551,0.5280571370129206
79,0.29998751932105105,0.40442637961453426,0.4659960495506691,0.5011804082120551,0.5280571370129206
80,0.299997120119803,0.4044258854003841,0.466000497011392,0.5011802318632724,0.5280523553071103
81,0.299997120119803,0.4044258854003841,0.466000497011392,0.5011802318632724,0.5280523553071103
82,0.2998327998853485,0.4043753470294281,0.46583131652223697,0.5009134251214187,0.5276987674387106
83,0.2998327998853485,0.4043753470294281,0.46583131652223697,0.5009134251214187,0.5276987674387106
84,0.2998327998853485,0.4043753470294281,0.46583131652223697,0.5009134251214187,0.5276987674387106
85,0.2998461935286644,0.40437698474384315,0.4658366507948898,0.5009132623513164,0.527693141038662
86,0.2998433440317897,0.40437200937017753,0.46583503518607644,0.5009056895118185,0.5276964476111496
87,0.2998433440317897,0.40437200937017753,0.46583503518607644,0.5009056895118185,0.5276964476111496
88,0.2998529102752679,0.4043715240389419,0.46582647261565674,0.500890709895787,0.5276748396703724
89,0.2998529102752679,0.4043715240389419,0.46582647261565674,0.500890709895787,0.5276748396703724
90,0.2998691611991328,0.4043998490465514,0.46585086738276676,0.5009128285811824,0.5276950666576437
91,0.299887314259521,0.404412825606819,0.46586047721214485,0.5009201543484714,0.5277002452846148
92,0.299887314259521,0.404412825606819,0.46586047721214485,0.5009201543484714,0.5277002452846148
93,0.299887314259521,0.404412825606819,0.46586047721214485,0.5009201543484714,0.5277002452846148
94,0.299887314259521,0.404412825606819,0.46586047721214485,0.5009201543484714,0.5277002452846148
95,0.29989113619435054,0.40441494733804645,0.4658613650252903,0.5009201270368941,0.5276993081516315
96,0.29989113619435054,0.40441494733804645,0.4658613650252903,0.5009201270368941,0.5276993081516315
97,0.29989495798319327,0.4044170689750846,0.465862252792261,0.5009200997269382,0.5276983710820549
98,0.29989495798319327,0.4044170689750846,0.465862252792261,0.5009200997269382,0.5276983710820549
99,0.29989495798319327,0.4044170689750846,0.465862252792261,0.5009200997269382,0.5276983710820549
100,0.29989495798319327,0.4044170689750846,0.465862252792261,0.5009200997269382,0.5276983710820549
